;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
SCAR3;400;5,40%;107.331.693;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;452;14,02%;107.331.694;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;696;0,12%;107.331.689;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TECN3;400;6,83%;107.331.692;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VLID3;93;0,02%;107.331.691;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;119;14,02%;107.331.686;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;179;14,02%;107.331.690;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;9;14,02%;107.331.688;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TUPY3;265;0,06%;107.331.685;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
UNIP6;100;0,02%;107.331.687;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
QUAL3;2.000;0,09%;107.331.684;Balcão;30/06/2026;18:34:01;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;222;0,12%;107.331.683;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;680;14,02%;107.331.677;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
SHUL4;100;0,12%;107.331.682;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
TFCO4;300;0,13%;107.331.681;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;706;14,02%;107.331.679;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;1.791;0,12%;107.331.672;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;524;14,02%;107.331.675;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZZA3;7;40,56%;107.331.680;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BRBI11;169;0,09%;107.331.678;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
VLID3;7;0,02%;107.331.676;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;36;0,12%;107.331.674;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
WIZC3;200;0,42%;107.331.668;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;1.000;14,02%;107.331.669;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;1.678;14,02%;107.331.673;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;1.220;0,12%;107.331.670;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;10;14,02%;107.331.666;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;10;14,02%;107.331.662;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
BBSE3;200;0,06%;107.331.667;Balcão;30/06/2026;18:34:00;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
